Index	Coordinates (x1, y1, x2, y2)
1	(378, 181, 593, 807)
2	(52, 56, 305, 833)
1	(378, 181, 593, 807)
2	(52, 56, 305, 833)
1	(378, 181, 593, 807)
2	(52, 56, 305, 833)
1	(526, 349, 712, 662)
2	(75, 301, 481, 694)
3	(663, 335, 877, 653)
4	(393, 290, 605, 656)
5	(133, 198, 334, 437)
1	(663, 337, 875, 653)
2	(526, 350, 712, 663)
3	(70, 301, 475, 694)
4	(395, 294, 606, 659)
5	(344, 171, 481, 510)
6	(135, 198, 334, 437)
1	(526, 349, 712, 662)
2	(75, 301, 481, 694)
3	(663, 335, 877, 653)
4	(393, 290, 605, 656)
5	(133, 198, 334, 437)
1	(27, 345, 266, 785)
2	(795, 0, 1084, 335)
3	(426, 404, 735, 647)
4	(486, 275, 1031, 585)
5	(84, 119, 450, 390)
6	(3, 6, 1081, 775)
7	(267, 269, 529, 537)
8	(176, 337, 408, 785)
